TimeMDT,TemperatureF,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_Direction,Wind_SpeedMPH,Gust_SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:54 AM,73,28.9,20,29.66,10,North,10.4,-,N/A,,Partly Cloudy,360,2013-06-11 06:54:00
1:54 AM,73,30.9,21,29.65,10,NNW,4.6,-,N/A,,Partly Cloudy,330,2013-06-11 07:54:00
2:54 AM,71.1,32,24,29.67,10,NNW,5.8,-,N/A,,Clear,340,2013-06-11 08:54:00
3:54 AM,71.1,30,22,29.66,10,NW,6.9,-,N/A,,Clear,320,2013-06-11 09:54:00
4:54 AM,72,30,21,29.68,10,NW,9.2,-,N/A,,Clear,310,2013-06-11 10:54:00
5:54 AM,70,28,21,29.7,10,NNW,9.2,-,N/A,,Partly Cloudy,340,2013-06-11 11:54:00
6:54 AM,72,30.9,22,29.72,10,Calm,Calm,-,N/A,,Scattered Clouds,0,2013-06-11 12:54:00
7:54 AM,80.1,28.9,15,29.73,10,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-06-11 13:54:00
8:30 AM,84.2,26.6,12,30.07,10,SSE,10.4,-,N/A,,Partly Cloudy,160,2013-06-11 14:30:00
8:54 AM,86,25,11,29.73,10,SSE,10.4,-,N/A,,Scattered Clouds,160,2013-06-11 14:54:00
9:54 AM,90,17.1,7,29.69,10,South,20.7,26.5,N/A,,Scattered Clouds,190,2013-06-11 15:54:00
10:54 AM,90,15.1,6,29.7,10,South,19.6,-,N/A,,Scattered Clouds,180,2013-06-11 16:54:00
11:54 AM,93,15.1,6,29.65,10,SW,29.9,40.3,N/A,,Scattered Clouds,220,2013-06-11 17:54:00
12:54 PM,95,10,4,29.65,8,SSW,28.8,43.7,N/A,,Scattered Clouds,210,2013-06-11 18:54:00
1:54 PM,95,9,4,29.62,10,SSW,23,40.3,N/A,,Scattered Clouds,210,2013-06-11 19:54:00
2:54 PM,96.1,3.9,4,29.59,7,SSW,21.9,35.7,N/A,,Scattered Clouds,210,2013-06-11 20:54:00
3:54 PM,96.1,-4,4,29.57,8,SSW,28.8,35.7,N/A,,Scattered Clouds,200,2013-06-11 21:54:00
4:54 PM,95,-2,4,29.56,10,SSW,24.2,33.4,N/A,,Scattered Clouds,210,2013-06-11 22:54:00
5:54 PM,95,3.9,4,29.91,10,WSW,26.5,34.5,N/A,,Scattered Clouds,240,2013-06-11 23:54:00
6:54 PM,93.2,1.4,4,29.59,10,West,24.2,32.2,N/A,,Scattered Clouds,280,2013-06-12 00:54:00
7:54 PM,89.6,-0.4,4,29.61,10,West,19.6,31.1,N/A,,Scattered Clouds,270,2013-06-12 01:54:00
8:54 PM,82.4,12.2,7,29.65,10,NW,15,-,N/A,,Partly Cloudy,320,2013-06-12 02:54:00
9:54 PM,82,15.1,8,29.68,10,NW,17.3,25.3,N/A,,Clear,320,2013-06-12 03:54:00
10:54 PM,80.1,16,9,29.73,10,WNW,12.7,-,N/A,,Clear,300,2013-06-12 04:54:00
11:54 PM,78.1,18,10,29.74,10,NW,12.7,-,N/A,,Clear,320,2013-06-12 05:54:00
